Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Cross Region Data Replication Transfer,AWS Data Transfer,0,20.48,245.76,USD,"DT Inbound: All other regions (1 TB per month), DT Outbound: All other regions (1 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (20.48)"
My Estimate,US East (N. Virginia),Routing & DNS,Amazon Route 53,0,1062.5,12750,USD,Hosted Zones (1)
My Estimate > US East 1,US East (N. Virginia),East Region Database,Amazon Aurora MySQL-Compatible,0,4312.45,51749.4,USD,"Storage amount (2 TB), Additional backup storage (2 TB)"
My Estimate > US East 1,US East (N. Virginia),East Region Web & App Servers with Autoscaling,Amazon EC2,0,2713.083964,32557.01,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (2 TB per month), DT Intra-Region: (0 TB per month), Workload (Daily, (Workload days: Monday, Tuesday, Wednesday, Thursday, Friday, Baseline: 8, Peak: 24, Duration of peak: 5 Hr 30 Min)(Workload days: Sunday, Saturday, Baseline: 8, Peak: 20, Duration of peak: 8 Hr 30 Min)), Advance EC2 instance (t4g.2xlarge), Pricing strategy (On-Demand)"
My Estimate > US East 1,US East (N. Virginia),East Region External Load Balancer,Elastic Load Balancing,0,133.23,1598.76,USD,Number of Application Load Balancers (1)
My Estimate > US East 1,US East (N. Virginia),East Region Internal Load Balancers,Elastic Load Balancing,0,149.65,1795.8,USD,Number of Application Load Balancers (2)
My Estimate > US East 1,US East (N. Virginia),East Region NAT Gateways,Amazon Virtual Private Cloud (VPC),0,66.6,799.2,USD,Number of NAT Gateways (2)
My Estimate > US East 1,US East (N. Virginia),Image Storage,S3 Standard,0,14.4,172.8,USD,S3 Standard storage (600 GB per month)
My Estimate > US East 1,US East (N. Virginia),Image Storage,Data Transfer,0,0,0,USD,"DT Inbound: Internet (0 TB per month), DT Outbound: Amazon CloudFront (0 TB per month)"
My Estimate > US East 1,US East (N. Virginia),East Region Cloudfront Data Transfer Out,AWS Data Transfer,0,1182.63,14191.56,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (13 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate > US East 1,US East (N. Virginia),,Amazon Elastic IP,0,219,2628,USD,"Number of EC2 instances (20), Number of EIPs per instance (4)"
My Estimate > US West 2,US West (Oregon),East Region Cloudfront Data Transfer Out,AWS Data Transfer,0,1182.63,14191.56,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (13 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (1182.63)"
My Estimate > US West 2,US West (Oregon),Image Storage,S3 Standard,0,14.4,172.8,USD,S3 Standard storage (600 GB per month)
My Estimate > US West 2,US West (Oregon),Image Storage,Data Transfer,0,0,0,USD,"DT Inbound: Internet (0 TB per month), DT Outbound: Amazon CloudFront (0 TB per month)"
My Estimate > US West 2,US West (Oregon),East Region NAT Gateways,Amazon Virtual Private Cloud (VPC),0,66.6,799.2,USD,Number of NAT Gateways (2)
My Estimate > US West 2,US West (Oregon),East Region Internal Load Balancers,Elastic Load Balancing,0,149.65,1795.8,USD,Number of Application Load Balancers (2)
My Estimate > US West 2,US West (Oregon),East Region External Load Balancer,Elastic Load Balancing,0,133.23,1598.76,USD,Number of Application Load Balancers (1)
My Estimate > US West 2,US West (Oregon),East Region Web & App Servers with Autoscaling,Amazon EC2,0,2713.083964,32557.01,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (2 TB per month), DT Intra-Region: (0 TB per month), Workload (Daily, (Workload days: Monday, Tuesday, Wednesday, Thursday, Friday, Baseline: 8, Peak: 24, Duration of peak: 5 Hr 30 Min)(Workload days: Sunday, Saturday, Baseline: 8, Peak: 20, Duration of peak: 8 Hr 30 Min)), Advance EC2 instance (t4g.2xlarge), Pricing strategy (On-Demand)"
My Estimate > US West 2,US West (Oregon),East Region Database,Amazon Aurora MySQL-Compatible,0,4312.45,51749.4,USD,"Storage amount (2 TB), Additional backup storage (2 TB)"
My Estimate > US West 2,US East (N. Virginia),,Amazon Elastic IP,0,219,2628,USD,"Number of EC2 instances (20), Number of EIPs per instance (4)"
,,,,,,,,
Rationale,,,,,,,,
"Given a doubling of the infrastructure budget with the aim of increasing performance and reliability, rearchitecting to use an active-active multi-region configuration seems like a good choice. Assuming the entire user-base is distributed throughout the US, the addition of a 2nd region in us-west-2 would potentially reduce latency for a large number of users, whilst also significantly increasing the resiliancy of the app, in the event of single-region outages. RDS Aurora Serverless was chosen for persistence due to its improved support for distributed data and replication across regions, whilst also reducing operational overhead. Latency checks were added to Route53 so that client requests can be routed to the region that will provide the fastest response to the user.",,,,,,,,
